Symbol,logFC
Tenm4,-1.105971653
Terb1,-4.006333919
Ticrr,-3.770009678
Timeless,-1.086647296
Tk1,-2.974082849
Tma7,1.028834489
Tmem258b,-1.032124415
Tns4,6.811283955
Tonsl,-1.287112827
Top2a,-4.992941369
Tppp,-5.683821637
Tpx2,-3.141352254
Traip,-4.677329928
Trip13,-1.525248545
Troap,-5.109138414
Ttk,-4.82190404
Tubb4a,1.430424096
Tube1,-1.336442309
Tulp2,-3.204822456
Ube2c,-5.298346893
Ube2t,-4.776676955
Uhrf1,-2.822793616
Vat1l,-4.55222128
Vsig4,-1.274568258
Wnt1,4.780772174
Xkr5,-2.216244702
Xrcc2,-1.075062911
Zfp13,-5.727318262
Zfp367,-1.244723623
Zfp647,6.658723408
Zwilch,-1.07062704
