Sample,Counts,Ind,Individual,Drug,Conc.,Time,Sample_name,Condition
MCW_SP_JT_R18_R1,24661341,Male_1,Ind_4,VEH,0.5,48,17-3_VEH_0.5_48,VEH_0.5
MCW_SP_JT_R19_R1,23703478,Male_2,Ind_5,CX-5461,0.1,3,84-1_CX-5461_0.1_3,CX-5461_0.1
MCW_SP_JT_R2_R1,26034847,Male_1,Ind_4,CX-5461,0.5,3,17-3_CX-5461_0.5_3,CX-5461_0.5
MCW_SP_JT_R20_R1,24254996,Male_2,Ind_5,CX-5461,0.5,3,84-1_CX-5461_0.5_3,CX-5461_0.5
MCW_SP_JT_R21_R1,24669478,Male_2,Ind_5,DOX,0.1,3,84-1_DOX_0.1_3,DOX_0.1
MCW_SP_JT_R22_R1,25357627,Male_2,Ind_5,DOX,0.5,3,84-1_DOX_0.5_3,DOX_0.5
MCW_SP_JT_R23_R1,25918657,Male_2,Ind_5,VEH,0.1,3,84-1_VEH_0.1_3,VEH_0.1
MCW_SP_JT_R24_R1,24950413,Male_2,Ind_5,VEH,0.5,3,84-1_VEH_0.5_3,VEH_0.5
MCW_SP_JT_R25_R1,33859119,Male_2,Ind_5,CX-5461,0.1,24,84-1_CX-5461_0.1_24,CX-5461_0.1
MCW_SP_JT_R26_R1,26696949,Male_2,Ind_5,CX-5461,0.5,24,84-1_CX-5461_0.5_24,CX-5461_0.5
MCW_SP_JT_R27_R1,26990105,Male_2,Ind_5,DOX,0.1,24,84-1_DOX_0.1_24,DOX_0.1
MCW_SP_JT_R28_R1,25786351,Male_2,Ind_5,DOX,0.5,24,84-1_DOX_0.5_24,DOX_0.5
MCW_SP_JT_R29_R1,22793793,Male_2,Ind_5,VEH,0.1,24,84-1_VEH_0.1_24,VEH_0.1
MCW_SP_JT_R3_R1,24396879,Male_1,Ind_4,DOX,0.1,3,17-3_DOX_0.1_3,DOX_0.1
MCW_SP_JT_R30_R1,26268599,Male_2,Ind_5,VEH,0.5,24,84-1_VEH_0.5_24,VEH_0.5
MCW_SP_JT_R31_R1,19091392,Male_2,Ind_5,CX-5461,0.1,48,84-1_CX-5461_0.1_48,CX-5461_0.1
MCW_SP_JT_R32_R1,27490015,Male_2,Ind_5,CX-5461,0.5,48,84-1_CX-5461_0.5_48,CX-5461_0.5
MCW_SP_JT_R33_R1,22948073,Male_2,Ind_5,DOX,0.1,48,84-1_DOX_0.1_48,DOX_0.1
MCW_SP_JT_R34_R1,22924226,Male_2,Ind_5,DOX,0.5,48,84-1_DOX_0.5_48,DOX_0.5
MCW_SP_JT_R35_R1,21163374,Male_2,Ind_5,VEH,0.1,48,84-1_VEH_0.1_48,VEH_0.1
MCW_SP_JT_R36_R1,23885334,Male_2,Ind_5,VEH,0.5,48,84-1_VEH_0.5_48,VEH_0.5
MCW_SP_JT_R37_R1,21812660,Male_3,Ind_6,CX-5461,0.1,3,90-1_CX-5461_0.1_3,CX-5461_0.1
MCW_SP_JT_R38_R1,24248017,Male_3,Ind_6,CX-5461,0.5,3,90-1_CX-5461_0.5_3,CX-5461_0.5
MCW_SP_JT_R39_R1,27201031,Male_3,Ind_6,DOX,0.1,3,90-1_DOX_0.1_3,DOX_0.1
MCW_SP_JT_R4_R1,26644233,Male_1,Ind_4,DOX,0.5,3,17-3_DOX_0.5_3,DOX_0.5
MCW_SP_JT_R40_R1,27481316,Male_3,Ind_6,DOX,0.5,3,90-1_DOX_0.5_3,DOX_0.5
MCW_SP_JT_R41_R1,26338509,Male_3,Ind_6,VEH,0.1,3,90-1_VEH_0.1_3,VEH_0.1
MCW_SP_JT_R42_R1,24226006,Male_3,Ind_6,VEH,0.5,3,90-1_VEH_0.5_3,VEH_0.5
MCW_SP_JT_R43_R1,19875321,Male_3,Ind_6,CX-5461,0.1,24,90-1_CX-5461_0.1_24,CX-5461_0.1
MCW_SP_JT_R44_R1,23786432,Male_3,Ind_6,CX-5461,0.5,24,90-1_CX-5461_0.5_24,CX-5461_0.5
MCW_SP_JT_R45_R1,23547817,Male_3,Ind_6,DOX,0.1,24,90-1_DOX_0.1_24,DOX_0.1
MCW_SP_JT_R46_R1,26395816,Male_3,Ind_6,DOX,0.5,24,90-1_DOX_0.5_24,DOX_0.5
MCW_SP_JT_R47_R1,27764549,Male_3,Ind_6,VEH,0.1,24,90-1_VEH_0.1_24,VEH_0.1
MCW_SP_JT_R48_R1,26809721,Male_3,Ind_6,VEH,0.5,24,90-1_VEH_0.5_24,VEH_0.5
MCW_SP_JT_R49_R1,31910036,Male_3,Ind_6,CX-5461,0.1,48,90-1_CX-5461_0.1_48,CX-5461_0.1
MCW_SP_JT_R5_R1,37896630,Male_1,Ind_4,VEH,0.1,3,17-3_VEH_0.1_3,VEH_0.1
MCW_SP_JT_R50_R1,24922244,Male_3,Ind_6,CX-5461,0.5,48,90-1_CX-5461_0.5_48,CX-5461_0.5
MCW_SP_JT_R51_R1,23383483,Male_3,Ind_6,DOX,0.1,48,90-1_DOX_0.1_48,DOX_0.1
MCW_SP_JT_R52_R1,27009043,Male_3,Ind_6,DOX,0.5,48,90-1_DOX_0.5_48,DOX_0.5
MCW_SP_JT_R53_R1,25800219,Male_3,Ind_6,VEH,0.1,48,90-1_VEH_0.1_48,VEH_0.1
MCW_SP_JT_R54_R1,23634711,Male_3,Ind_6,VEH,0.5,48,90-1_VEH_0.5_48,VEH_0.5
MCW_SP_JT_R55_R1,28686294,female_1,Ind_1,CX-5461,0.1,3,75-1_CX-5461_0.1_3,CX-5461_0.1
MCW_SP_JT_R56_R1,27783304,female_1,Ind_1,CX-5461,0.5,3,75-1_CX-5461_0.5_3,CX-5461_0.5
MCW_SP_JT_R57_R1,25985094,female_1,Ind_1,DOX,0.1,3,75-1_DOX_0.1_3,DOX_0.1
MCW_SP_JT_R58_R1,20965334,female_1,Ind_1,DOX,0.5,3,75-1_DOX_0.5_3,DOX_0.5
MCW_SP_JT_R59_R1,26759340,female_1,Ind_1,VEH,0.1,3,75-1_VEH_0.1_3,VEH_0.1
MCW_SP_JT_R6_R1,26811018,Male_1,Ind_4,VEH,0.5,3,17-3_VEH_0.5_3,VEH_0.5
MCW_SP_JT_R60_R1,29231226,female_1,Ind_1,VEH,0.5,3,75-1_VEH_0.5_3,VEH_0.5
MCW_SP_JT_R61_R1,27560752,female_1,Ind_1,CX-5461,0.1,24,75-1_CX-5461_0.1_24,CX-5461_0.1
MCW_SP_JT_R62_R1,20339349,female_1,Ind_1,CX-5461,0.5,24,75-1_CX-5461_0.5_24,CX-5461_0.5
MCW_SP_JT_R63_R1,32520619,female_1,Ind_1,DOX,0.1,24,75-1_DOX_0.1_24,DOX_0.1
MCW_SP_JT_R64_R1,27497962,female_1,Ind_1,DOX,0.5,24,75-1_DOX_0.5_24,DOX_0.5
MCW_SP_JT_R65_R1,28196246,female_1,Ind_1,VEH,0.1,24,75-1_VEH_0.1_24,VEH_0.1
MCW_SP_JT_R66_R1,30468828,female_1,Ind_1,VEH,0.5,24,75-1_VEH_0.5_24,VEH_0.5
MCW_SP_JT_R67_R1,29189939,female_1,Ind_1,CX-5461,0.1,48,75-1_CX-5461_0.1_48,CX-5461_0.1
MCW_SP_JT_R68_R1,25884985,female_1,Ind_1,CX-5461,0.5,48,75-1_CX-5461_0.5_48,CX-5461_0.5
MCW_SP_JT_R69_R1,25012593,female_1,Ind_1,DOX,0.1,48,75-1_DOX_0.1_48,DOX_0.1
MCW_SP_JT_R7_R1,27120658,Male_1,Ind_4,CX-5461,0.1,24,17-3_CX-5461_0.1_24,CX-5461_0.1
MCW_SP_JT_R70_R1,25555642,female_1,Ind_1,DOX,0.5,48,75-1_DOX_0.5_48,DOX_0.5
MCW_SP_JT_R71_R1,29090974,female_1,Ind_1,VEH,0.1,48,75-1_VEH_0.1_48,VEH_0.1
MCW_SP_JT_R72_R1,30092024,female_1,Ind_1,VEH,0.5,48,75-1_VEH_0.5_48,VEH_0.5
MCW_SP_JT_R73_R1,30115219,female_2,Ind_2,CX-5461,0.1,3,78-1_CX-5461_0.1_3,CX-5461_0.1
MCW_SP_JT_R74_R1,26046467,female_2,Ind_2,CX-5461,0.5,3,78-1_CX-5461_0.5_3,CX-5461_0.5
MCW_SP_JT_R75_R1,26013166,female_2,Ind_2,DOX,0.1,3,78-1_DOX_0.1_3,DOX_0.1
MCW_SP_JT_R76_R1,29340615,female_2,Ind_2,DOX,0.5,3,78-1_DOX_0.5_3,DOX_0.5
MCW_SP_JT_R77_R1,28282910,female_2,Ind_2,VEH,0.1,3,78-1_VEH_0.1_3,VEH_0.1
MCW_SP_JT_R78_R1,24092739,female_2,Ind_2,VEH,0.5,3,78-1_VEH_0.5_3,VEH_0.5
MCW_SP_JT_R79_R1,23435852,female_2,Ind_2,CX-5461,0.1,24,78-1_CX-5461_0.1_24,CX-5461_0.1
MCW_SP_JT_R8_R1,24324819,Male_1,Ind_4,CX-5461,0.5,24,17-3_CX-5461_0.5_24,CX-5461_0.5
MCW_SP_JT_R80_R1,22222473,female_2,Ind_2,CX-5461,0.5,24,78-1_CX-5461_0.5_24,CX-5461_0.5
MCW_SP_JT_R81_R1,39434837,female_2,Ind_2,DOX,0.1,24,78-1_DOX_0.1_24,DOX_0.1
MCW_SP_JT_R82_R1,23000862,female_2,Ind_2,DOX,0.5,24,78-1_DOX_0.5_24,DOX_0.5
MCW_SP_JT_R83_R1,24392032,female_2,Ind_2,VEH,0.1,24,78-1_VEH_0.1_24,VEH_0.1
MCW_SP_JT_R84_R1,25236026,female_2,Ind_2,VEH,0.5,24,78-1_VEH_0.5_24,VEH_0.5
MCW_SP_JT_R85_R1,29057390,female_2,Ind_2,CX-5461,0.1,48,78-1_CX-5461_0.1_48,CX-5461_0.1
MCW_SP_JT_R86_R1,25293531,female_2,Ind_2,CX-5461,0.5,48,78-1_CX-5461_0.5_48,CX-5461_0.5
MCW_SP_JT_R87_R1,25957278,female_2,Ind_2,DOX,0.1,48,78-1_DOX_0.1_48,DOX_0.1
MCW_SP_JT_R88_R1,24648304,female_2,Ind_2,DOX,0.5,48,78-1_DOX_0.5_48,DOX_0.5
MCW_SP_JT_R89_R1,27781326,female_2,Ind_2,VEH,0.1,48,78-1_VEH_0.1_48,VEH_0.1
MCW_SP_JT_R9_R1,36435396,Male_1,Ind_4,DOX,0.1,24,17-3_DOX_0.1_24,DOX_0.1
MCW_SP_JT_R90_R1,25255222,female_2,Ind_2,VEH,0.5,48,78-1_VEH_0.5_48,VEH_0.5
MCW_SP_JT_R91_R1,26408649,female_3,Ind_3,CX-5461,0.1,3,87-1_CX-5461_0.1_3,CX-5461_0.1
MCW_SP_JT_R92_R1,27125467,female_3,Ind_3,CX-5461,0.5,3,87-1_CX-5461_0.5_3,CX-5461_0.5
MCW_SP_JT_R93_R1,26472373,female_3,Ind_3,DOX,0.1,3,87-1_DOX_0.1_3,DOX_0.1
MCW_SP_JT_R94_R1,29772771,female_3,Ind_3,DOX,0.5,3,87-1_DOX_0.5_3,DOX_0.5
MCW_SP_JT_R95_R1,23357338,female_3,Ind_3,VEH,0.1,3,87-1_VEH_0.1_3,VEH_0.1
MCW_SP_JT_R96_R1,28132199,female_3,Ind_3,VEH,0.5,3,87-1_VEH_0.5_3,VEH_0.5
MCW_SP_JT_R97_R1,39630083,female_3,Ind_3,CX-5461,0.1,24,87-1_CX-5461_0.1_24,CX-5461_0.1
MCW_SP_JT_R98_R1,29643260,female_3,Ind_3,CX-5461,0.5,24,87-1_CX-5461_0.5_24,CX-5461_0.5
MCW_SP_JT_R99_R1,28077619,female_3,Ind_3,DOX,0.1,24,87-1_DOX_0.1_24,DOX_0.1
