Sample,Counts,Ind,Drug,Conc.,Time,Sample_name,Condition
MCW_SP_JT_R15_R1,30497522,4,DOX,0.1,48,17-3_DOX_0.1_48,DOX_0.1
MCW_SP_JT_R33_R1,23002123,5,DOX,0.1,48,84-1_DOX_0.1_48,DOX_0.1
MCW_SP_JT_R51_R1,23434320,6,DOX,0.1,48,90-1_DOX_0.1_48,DOX_0.1
MCW_SP_JT_R59_R1,26817567,1,VEH,0.1,3,75-1_VEH_0.1_3,VEH_0.1
MCW_SP_JT_R77_R1,28347248,2,VEH,0.1,3,78-1_VEH_0.1_3,VEH_0.1
MCW_SP_JT_R95_R1,23411802,3,VEH,0.1,3,87-1_VEH_0.1_3,VEH_0.1
MCW_SP_JT_R5_R1,37977960,4,VEH,0.1,3,17-3_VEH_0.1_3,VEH_0.1
MCW_SP_JT_R23_R1,25969909,5,VEH,0.1,3,84-1_VEH_0.1_3,VEH_0.1
MCW_SP_JT_R41_R1,26391241,6,VEH,0.1,3,90-1_VEH_0.1_3,VEH_0.1
MCW_SP_JT_R65_R1,28256014,1,VEH,0.1,24,75-1_VEH_0.1_24,VEH_0.1
MCW_SP_JT_R83_R1,24436448,2,VEH,0.1,24,78-1_VEH_0.1_24,VEH_0.1
MCW_SP_JT_R101_R1,28795222,3,VEH,0.1,24,87-1_VEH_0.1_24,VEH_0.1
MCW_SP_JT_R11_R1,24141033,4,VEH,0.1,24,17-3_VEH_0.1_24,VEH_0.1
MCW_SP_JT_R29_R1,22838551,5,VEH,0.1,24,84-1_VEH_0.1_24,VEH_0.1
MCW_SP_JT_R47_R1,27825589,6,VEH,0.1,24,90-1_VEH_0.1_24,VEH_0.1
MCW_SP_JT_R71_R1,29160163,1,VEH,0.1,48,75-1_VEH_0.1_48,VEH_0.1
MCW_SP_JT_R89_R1,27831757,2,VEH,0.1,48,78-1_VEH_0.1_48,VEH_0.1
MCW_SP_JT_R107_R1,27204247,3,VEH,0.1,48,87-1_VEH_0.1_48,VEH_0.1
MCW_SP_JT_R17_R1,34413675,4,VEH,0.1,48,17-3_VEH_0.1_48,VEH_0.1
MCW_SP_JT_R35_R1,21212174,5,VEH,0.1,48,84-1_VEH_0.1_48,VEH_0.1
MCW_SP_JT_R53_R1,25854464,6,VEH,0.1,48,90-1_VEH_0.1_48,VEH_0.1
MCW_SP_JT_R56_R1,27836380,1,CX-5461,0.5,3,75-1_CX-5461_0.5_3,CX-5461_0.5
MCW_SP_JT_R74_R1,26096373,2,CX-5461,0.5,3,78-1_CX-5461_0.5_3,CX-5461_0.5
MCW_SP_JT_R92_R1,27182089,3,CX-5461,0.5,3,87-1_CX-5461_0.5_3,CX-5461_0.5
MCW_SP_JT_R2_R1,26088103,4,CX-5461,0.5,3,17-3_CX-5461_0.5_3,CX-5461_0.5
MCW_SP_JT_R20_R1,24301191,5,CX-5461,0.5,3,84-1_CX-5461_0.5_3,CX-5461_0.5
MCW_SP_JT_R38_R1,24295505,6,CX-5461,0.5,3,90-1_CX-5461_0.5_3,CX-5461_0.5
MCW_SP_JT_R62_R1,20383735,1,CX-5461,0.5,24,75-1_CX-5461_0.5_24,CX-5461_0.5
MCW_SP_JT_R80_R1,22264709,2,CX-5461,0.5,24,78-1_CX-5461_0.5_24,CX-5461_0.5
MCW_SP_JT_R98_R1,29717321,3,CX-5461,0.5,24,87-1_CX-5461_0.5_24,CX-5461_0.5
MCW_SP_JT_R8_R1,24378445,4,CX-5461,0.5,24,17-3_CX-5461_0.5_24,CX-5461_0.5
MCW_SP_JT_R26_R1,26750379,5,CX-5461,0.5,24,84-1_CX-5461_0.5_24,CX-5461_0.5
MCW_SP_JT_R44_R1,23834823,6,CX-5461,0.5,24,90-1_CX-5461_0.5_24,CX-5461_0.5
MCW_SP_JT_R68_R1,25947527,1,CX-5461,0.5,48,75-1_CX-5461_0.5_48,CX-5461_0.5
MCW_SP_JT_R86_R1,25343306,2,CX-5461,0.5,48,78-1_CX-5461_0.5_48,CX-5461_0.5
MCW_SP_JT_R104_R1,26700496,3,CX-5461,0.5,48,87-1_CX-5461_0.5_48,CX-5461_0.5
MCW_SP_JT_R14_R1,24086985,4,CX-5461,0.5,48,17-3_CX-5461_0.5_48,CX-5461_0.5
MCW_SP_JT_R32_R1,27551724,5,CX-5461,0.5,48,84-1_CX-5461_0.5_48,CX-5461_0.5
MCW_SP_JT_R50_R1,24989844,6,CX-5461,0.5,48,90-1_CX-5461_0.5_48,CX-5461_0.5
MCW_SP_JT_R58_R1,21006882,1,DOX,0.5,3,75-1_DOX_0.5_3,DOX_0.5
MCW_SP_JT_R76_R1,29400989,2,DOX,0.5,3,78-1_DOX_0.5_3,DOX_0.5
MCW_SP_JT_R94_R1,29839920,3,DOX,0.5,3,87-1_DOX_0.5_3,DOX_0.5
MCW_SP_JT_R4_R1,26695195,4,DOX,0.5,3,17-3_DOX_0.5_3,DOX_0.5
MCW_SP_JT_R22_R1,25410612,5,DOX,0.5,3,84-1_DOX_0.5_3,DOX_0.5
MCW_SP_JT_R40_R1,27536531,6,DOX,0.5,3,90-1_DOX_0.5_3,DOX_0.5
MCW_SP_JT_R64_R1,27598221,1,DOX,0.5,24,75-1_DOX_0.5_24,DOX_0.5
MCW_SP_JT_R82_R1,23091061,2,DOX,0.5,24,78-1_DOX_0.5_24,DOX_0.5
MCW_SP_JT_R100_R1,28331688,3,DOX,0.5,24,87-1_DOX_0.5_24,DOX_0.5
MCW_SP_JT_R10_R1,25625604,4,DOX,0.5,24,17-3_DOX_0.5_24,DOX_0.5
MCW_SP_JT_R28_R1,25850034,5,DOX,0.5,24,84-1_DOX_0.5_24,DOX_0.5
MCW_SP_JT_R46_R1,26460482,6,DOX,0.5,24,90-1_DOX_0.5_24,DOX_0.5
MCW_SP_JT_R70_R1,25645420,1,DOX,0.5,48,75-1_DOX_0.5_48,DOX_0.5
MCW_SP_JT_R88_R1,24749514,2,DOX,0.5,48,78-1_DOX_0.5_48,DOX_0.5
MCW_SP_JT_R106_R1,27212800,3,DOX,0.5,48,87-1_DOX_0.5_48,DOX_0.5
MCW_SP_JT_R16_R1,29213935,4,DOX,0.5,48,17-3_DOX_0.5_48,DOX_0.5
MCW_SP_JT_R34_R1,22977907,5,DOX,0.5,48,84-1_DOX_0.5_48,DOX_0.5
MCW_SP_JT_R52_R1,27080489,6,DOX,0.5,48,90-1_DOX_0.5_48,DOX_0.5
MCW_SP_JT_R60_R1,29286489,1,VEH,0.5,3,75-1_VEH_0.5_3,VEH_0.5
MCW_SP_JT_R78_R1,24143457,2,VEH,0.5,3,78-1_VEH_0.5_3,VEH_0.5
MCW_SP_JT_R96_R1,28190914,3,VEH,0.5,3,87-1_VEH_0.5_3,VEH_0.5
MCW_SP_JT_R6_R1,26867336,4,VEH,0.5,3,17-3_VEH_0.5_3,VEH_0.5
MCW_SP_JT_R24_R1,25004573,5,VEH,0.5,3,84-1_VEH_0.5_3,VEH_0.5
MCW_SP_JT_R42_R1,24275783,6,VEH,0.5,3,90-1_VEH_0.5_3,VEH_0.5
MCW_SP_JT_R66_R1,30539058,1,VEH,0.5,24,75-1_VEH_0.5_24,VEH_0.5
MCW_SP_JT_R84_R1,25285723,2,VEH,0.5,24,78-1_VEH_0.5_24,VEH_0.5
MCW_SP_JT_R102_R1,28365644,3,VEH,0.5,24,87-1_VEH_0.5_24,VEH_0.5
MCW_SP_JT_R12_R1,22323327,4,VEH,0.5,24,17-3_VEH_0.5_24,VEH_0.5
MCW_SP_JT_R30_R1,26323823,5,VEH,0.5,24,84-1_VEH_0.5_24,VEH_0.5
MCW_SP_JT_R48_R1,26868221,6,VEH,0.5,24,90-1_VEH_0.5_24,VEH_0.5
MCW_SP_JT_R72_R1,30173168,1,VEH,0.5,48,75-1_VEH_0.5_48,VEH_0.5
MCW_SP_JT_R90_R1,25314042,2,VEH,0.5,48,78-1_VEH_0.5_48,VEH_0.5
MCW_SP_JT_R108_R1,26351028,3,VEH,0.5,48,87-1_VEH_0.5_48,VEH_0.5
MCW_SP_JT_R18_R1,24712202,4,VEH,0.5,48,17-3_VEH_0.5_48,VEH_0.5
MCW_SP_JT_R36_R1,23939089,5,VEH,0.5,48,84-1_VEH_0.5_48,VEH_0.5
MCW_SP_JT_R54_R1,23686060,6,VEH,0.5,48,90-1_VEH_0.5_48,VEH_0.5
