"ENTREZID","SYMBOL","87.1_CX.5461_0.1_48","87.1_VEH_0.1_48","17.3_CX.5461_0.1_48","17.3_VEH_0.1_48","84.1_CX.5461_0.1_48","84.1_VEH_0.1_48","90.1_CX.5461_0.1_48","90.1_VEH_0.1_48","75.1_CX.5461_0.1_48","75.1_VEH_0.1_48","78.1_CX.5461_0.1_48","78.1_VEH_0.1_48"
8790,"FPGT",3.588523641,3.769488329,3.224784627,3.155675855,3.600666104,3.355294037,3.085309033,3.170220646,4.093075113,3.927264047,3.662829819,3.422076306
51086,"TNNI3K",2.202933438,2.471222224,2.344188354,2.442796235,2.267055553,1.937009395,1.857940725,1.90096617,3.179753202,2.704483217,2.382075771,2.422944184
1429,"CRYZ",4.971819011,5.095643293,5.01221397,5.020862821,4.482038917,4.558667738,4.714811861,4.744046042,4.658873557,4.619038144,5.130244433,5.1753811
127253,"TYW3",4.123503108,4.453882005,4.080471546,4.291144245,3.801438309,3.980866671,4.329012028,4.295616149,4.001624032,3.967256879,4.028700042,4.091605216
204962,"SLC44A5",3.235647024,3.923343736,4.987840272,5.07719981,4.281643901,4.459300315,4.358791478,4.354505256,5.40648922,5.368020585,5.672612546,5.518102178
34,"ACADM",6.715564934,6.838751533,6.656490632,6.817443902,6.173854248,6.097313859,6.836516146,6.891710289,6.542360016,6.522756567,6.497166277,6.435183697
1744,"DLSTP1",3.135770265,2.705265088,3.147672046,3.032859824,2.891763349,2.978408853,3.492349249,3.361809634,3.410596254,3.105823083,3.374171632,3.233295074
5876,"RABGGTB",5.602058212,5.844153313,5.989166296,5.934322582,5.691859456,5.716564867,5.944781003,5.971494474,5.85311417,5.890117001,5.590790914,5.601489554
256435,"ST6GALNAC3",4.684291387,5.045734145,4.397855293,4.124033749,4.395287203,4.493188957,4.584768079,4.530815376,3.764262366,3.931762837,3.785592725,4.099822622
81849,"ST6GALNAC5",0.539956242,0.111670555,1.489053685,1.448894525,1.232620364,1.861178696,0.399926409,0.467055057,0.616596017,1.164767852,0.058346304,0.041237303
10026,"PIGK",5.316202746,5.852305913,5.622000242,5.685245447,5.452663974,5.557489434,5.1490211,5.12423152,5.684255957,5.867987295,5.757560888,5.95514775
26009,"ZZZ3",5.177771241,5.402091934,5.004945,5.175633488,5.100241885,5.282629819,5.181045707,5.412764584,5.514193797,5.56477092,5.358358394,5.38658497
23032,"USP33",6.014316976,6.307646018,6.030322526,6.077570952,6.093471512,6.033971339,6.139207252,6.239999406,6.386761547,6.425625034,6.501650843,6.440046357
374986,"MIGA1",4.385104382,4.726460896,4.53874516,4.588710222,4.74629433,4.522202262,4.183505908,4.00988676,4.735704176,4.857604274,4.845114132,4.759132938
374987,"NEXN-AS1",1.027839658,-0.237958205,0.997172537,0.639991347,0.634994093,0.428243,0.150369248,0.297333485,1.228515027,1.036970851,0.549045911,-0.102201001
91624,"NEXN",9.679348737,9.685555854,8.933551366,8.937061519,9.477144647,9.324286937,9.079389663,9.020588098,9.31213573,9.417398331,9.474958932,9.410732195
8880,"FUBP1",6.474029641,6.689431418,6.711856761,6.708522502,6.691421479,6.734749301,6.827492562,6.775302389,6.753309619,6.941668228,6.775439163,6.859096871
11080,"DNAJB4",5.473523624,5.869622164,5.79913615,6.057582328,5.617159785,5.58328482,5.927993545,6.11464869,5.796111,6.005577739,5.798230117,5.749851782
54810,"GIPC2",0.668062581,0.792084176,-0.045634852,0.815847172,-0.15066012,0.356412178,0.898685952,0.756265726,0.571051543,0.076036419,0.12186859,0.966546035
64123,"ADGRL4",3.012458612,3.289429403,3.257776921,3.434355605,3.149075003,3.037020758,2.974264691,2.766152262,0.013116851,-0.674634694,3.286796548,3.172262286
23266,"ADGRL2",7.412744037,7.495513644,7.469824005,7.567667461,7.586325755,7.558106793,7.675908954,7.729097631,7.674686654,7.737702267,7.906289359,7.808561818
79739,"TTLL7",3.780286494,3.996629346,3.604090696,3.765345788,3.643118077,3.748074741,3.278419722,3.354615227,3.217193041,3.340465065,3.505010457,3.218277226
5567,"PRKACB",5.916667518,6.34113563,5.459562995,5.662409749,5.861462421,5.683922855,5.826148608,5.897928889,5.923889691,6.000233172,5.873978587,5.889118666
80135,"RPF1",5.398546548,5.528120868,5.121557733,5.11469355,5.066325977,5.134816269,5.455018884,5.529169982,5.512688919,5.517667235,5.402192187,5.413205788
2787,"GNG5",6.601184227,6.706877859,6.357748607,6.511137895,6.223659645,6.344750852,6.782057721,6.805296707,6.68279856,6.584058162,6.575829946,6.781401342
100505741,"SPATA1",0.349270165,-0.497314882,-0.216359166,-0.070535252,-0.271629488,-0.171199671,-0.624239103,-0.379640396,-0.288867574,-0.060262244,0.681434155,-0.1796487
1486,"CTBS",4.167523863,4.560090108,4.047832167,4.06257071,4.641305108,4.442052729,3.640328803,3.699396965,4.056361181,4.124865242,4.296411816,4.401839692
117178,"SSX2IP",4.855532484,5.317129247,4.741872016,5.033375897,4.641305108,4.883322879,4.814888278,4.917627844,5.206923302,5.399217501,5.216432941,5.186998118
23566,"LPAR3",3.672392182,3.789035177,3.09387425,3.708517058,3.315810861,3.409540899,4.149834087,4.242039443,4.227580537,4.450571794,3.921215943,4.206406378
55283,"MCOLN3",0.39935609,-0.087797498,-0.517580976,-1.097096043,-0.271629488,0.428243,-0.02312137,0.297333485,0.936915937,0.896743278,-0.690997906,-0.759351092
126820,"DNAI3",2.805150022,2.861138741,3.0568612,3.081871495,2.987130538,2.466851356,2.73182475,2.920289675,2.654889076,2.221936509,3.307434807,2.82107465
84144,"SYDE2",4.007189802,4.211054035,4.317985265,4.626956774,4.210026811,4.062137725,4.032788085,4.050524865,4.990467769,4.878728069,4.835672613,4.576876089
148423,"C1orf52",4.301967125,4.484177029,4.466495661,4.591130567,4.424787869,4.34331894,4.245394901,4.404132304,4.586330094,4.576576678,4.75282249,4.623219396
8915,"BCL10",3.179423882,3.860063975,3.257776921,3.256706393,3.336654432,3.317962075,3.555433187,3.73861363,3.275146428,3.444871588,3.279850994,3.299005432
23576,"DDAH1",5.84956905,6.538095065,6.318218145,6.292847651,6.334024272,6.235119227,6.184810449,6.428241633,6.056838564,6.260197025,5.672612546,5.69123724
3491,"CCN1",7.582232597,7.830747912,9.281659682,9.057692782,8.932706573,9.037363064,8.273778479,8.338763715,7.975454701,8.189506549,7.903467855,7.988336374
54680,"ZNHIT6",4.127223244,4.39131397,4.258100651,4.282184677,4.152411154,4.062137725,4.338010583,4.245933039,4.052223579,4.216209084,4.333779277,4.124197685
57489,"ODF2L",4.541045971,4.548668024,4.912146584,4.711701423,4.603106375,4.659113,4.617162836,4.644319705,4.357331288,4.646667014,4.8117949,4.637401608
105378828,"CLCA4-AS1",0.49459514,0.670888991,0.957557978,0.563172896,1.092592963,0.201039985,0.962143223,0.881685612,1.168617779,0.933098535,0.453516701,0.732920867
51100,"SH3GLB1",7.786001912,8.048111639,7.414206735,7.476350645,7.615402118,7.433830184,7.55955605,7.588984921,7.665235575,7.760009872,7.727040013,7.530542805
