"ENTREZID","SYMBOL","84.1_DOX_0.5_3","84.1_VEH_0.5_3","17.3_DOX_0.5_3","90.1_DOX_0.5_3","90.1_VEH_0.5_3","75.1_DOX_0.5_3","17.3_VEH_0.5_3","75.1_VEH_0.5_3","78.1_DOX_0.5_3","78.1_VEH_0.5_3","87.1_DOX_0.5_3","87.1_VEH_0.5_3"
554282,"FAM72C",1.301564603,1.270450501,0.714234642,-0.040841608,0.476620203,0.903473029,0.935478325,0.840442547,0.855569432,0.654090995,0.501277513,1.512994154
100996712,"SRGAP2D",4.289466379,4.241716887,3.426466909,3.062161889,2.95860492,3.180839336,3.551306045,3.313723543,3.109698642,3.667903546,3.651261867,3.960509295
284565,"NBPF15",4.983756246,5.237752259,4.430541682,4.347882231,4.43308649,4.465307595,4.594840128,4.669715583,4.878841073,5.088397652,4.61729224,4.731655857
647135,"SRGAP2B",5.1687404,5.122973485,4.069431136,3.997613856,4.21992136,3.763763977,4.489659281,4.089017525,4.065686476,4.568853965,4.604385017,4.736543842
728833,"FAM72D",1.334097919,0.920635392,0.197423222,-0.452241229,0.834607576,1.178344888,1.392338625,1.175776786,0.479839003,0.601310291,0.587757157,1.622669053
103091866,"LINC01145",0.794217165,1.046902272,0.614326168,0.3351461,0.291045204,0.686008388,0.505124409,0.453025843,0.740865307,0.430288261,-0.166803876,0.007962451
100288142,"NBPF20",4.601533738,4.450337863,4.259189349,3.846168609,4.198085398,3.940171054,4.309975833,4.132060998,4.397704826,4.681198931,4.175778519,4.330669832
101060254,"PDE4DIPP5",1.234210724,1.199714528,1.64270388,0.029027274,-0.366522339,-0.279960545,1.29901735,0.453025843,1.123175695,1.134521839,-0.315860054,-0.358251178
101929780,"NBPF25P",3.238160416,3.140541328,2.866662249,2.75711643,3.009641261,2.22781559,2.84281115,2.899175708,3.109698642,3.361669572,3.018773866,2.897759811
653519,"GPR89A",4.108532999,4.088637142,4.069431136,4.010624769,3.811880809,3.927818443,3.923743052,3.780153713,3.932645083,3.705898595,3.903904705,3.806324121
11126,"CD160",1.199316678,1.086649373,1.617119825,0.278899349,0.691907726,0.563604624,1.164385472,0.98405522,0.927266484,0.801750642,0.149804554,-0.44413537
27246,"RNF115",5.899517398,5.961595833,5.918320108,5.998204133,6.136774743,6.45376506,6.046438433,6.556031921,6.55680317,6.566695695,5.944287115,6.244153921
