"ENTREZID","SYMBOL","87.1_DOX_0.1_48","87.1_VEH_0.1_48","17.3_DOX_0.1_48","17.3_VEH_0.1_48","84.1_DOX_0.1_48","84.1_VEH_0.1_48","90.1_DOX_0.1_48","90.1_VEH_0.1_48","75.1_DOX_0.1_48","75.1_VEH_0.1_48","78.1_DOX_0.1_48","78.1_VEH_0.1_48"
144402,"CPNE8",1.253812229,1.280467317,1.063081736,1.166818062,0.364356677,0.74189612,0.927482272,0.666153844,2.274018732,1.195023427,2.243178569,1.258452889
55605,"KIF21A",6.322162612,7.014057102,6.89064087,7.165636284,6.834827153,6.813143684,6.479345123,6.792042826,6.134455802,7.584706292,6.602673768,7.657050682
114134,"SLC2A13",5.656505536,4.884727538,5.246964988,4.837312006,4.864436068,5.140173591,5.06286512,4.679293688,5.171965733,4.249025095,5.585146588,4.495129271
283463,"MUC19",2.613677412,0.172468909,3.35407418,1.610325217,2.381685335,1.753442291,3.1849829,2.014876607,5.220736817,1.133864154,4.730995521,1.343958346
1272,"CNTN1",5.873321045,6.204974894,5.986398182,6.447111255,5.277415243,5.591129956,5.953506231,5.885502825,5.732794755,5.586332287,6.741903654,7.531302491
283464,"GXYLT1",5.316934718,5.389342024,5.239586817,5.212257332,5.225519829,5.627822628,5.447976458,5.210445737,5.331874226,5.32591652,5.360606773,5.036736484
10138,"YAF2",5.127060427,5.448925002,4.663054591,4.869571717,5.186569589,4.807907318,5.026018811,5.314221977,5.353905336,5.110679864,5.121279999,4.96657532
85437,"ZCRB1",4.330590901,4.918398468,4.083794993,4.186190422,4.301920998,4.181262479,4.19896371,4.66482409,4.044374926,4.747080804,4.227471825,4.695489803
51535,"PPHLN1",5.785533968,5.666650716,5.2850932,5.313932887,5.263446066,5.129438979,5.44239433,5.436809185,6.021372031,5.374644652,5.872775918,5.468194898
144165,"PRICKLE1",8.348872312,8.561779602,8.121874084,8.148571681,8.20353589,8.120616779,8.040274613,7.919087588,7.762848168,8.591442089,8.370928997,8.694644528
83448,"PUS7L",3.295312191,3.375990694,3.210506923,3.333883771,2.381685335,3.037020758,2.856013263,2.890751548,2.791062487,3.367283555,3.177215583,3.172262286
51135,"IRAK4",3.41183797,3.240574864,3.3878397,2.733140714,2.861351168,2.800368744,3.296444726,3.12864885,3.958094856,2.928098991,3.779194107,3.210709269
5756,"TWF1",5.359013484,5.482328092,4.802275887,4.626956774,4.278959875,4.291296819,5.045787214,5.041524276,4.692248292,4.821695748,4.850259824,4.591518927
84216,"TMEM117",4.377747396,4.669596796,4.569052158,4.812634836,4.66280237,4.827964165,4.212145202,4.174188082,4.861179768,4.797250385,4.509542943,4.764311946
4753,"NELL2",5.168665339,3.953972318,1.882650543,1.11393715,3.002596686,2.840413263,4.074575148,2.787680524,4.305073176,1.586018887,4.14306751,1.77185871
51054,"PLEKHA8P1",2.763230917,3.026714324,2.234044619,2.52610983,2.311008895,2.483806726,2.856013263,2.665090139,2.73111285,2.628923905,2.855183251,2.607160512
196527,"ANO6",7.127903886,7.417206067,6.865695993,6.964240109,6.729525859,7.168786373,6.921865578,6.970300292,7.410649601,7.673676817,7.405749835,7.441205922
400027,"LINC00938",4.191575319,4.243295758,3.88060124,3.803417173,3.869569476,3.705343829,4.050315198,4.257551171,4.242034538,4.284632706,4.219250168,4.368219297
196528,"ARID2",5.368657752,5.724897949,5.458767422,5.56972764,5.302679305,5.627822628,5.436790521,5.632425377,5.369719254,6.025708417,5.64774955,5.920772575
9169,"SCAF11",7.637848607,7.850650567,7.710188868,7.86732932,7.578964638,7.767750212,7.522378085,7.505373442,7.695820279,7.985552767,7.644355874,7.633541113
81539,"SLC38A1",9.429113261,9.686858937,9.563017757,9.693818519,9.427335623,9.753208823,9.545284786,9.520109333,10.13354117,9.919450864,9.837771084,9.614901927
54407,"SLC38A2",9.779051977,9.316656848,9.555423703,9.331812779,9.442784176,9.415063263,9.38732424,9.074130507,10.36015711,9.309180738,10.69416451,9.208888787
100288798,"SLC38A4-AS1",2.40457221,1.252578956,1.956514595,1.291115163,1.340885565,0.624485525,1.820280608,1.069163704,2.903969133,1.652940697,2.259307085,0.600196067
55089,"SLC38A4",0.403728128,0.443096927,0.994604037,1.001979185,0.836418233,0.850466445,0.746045338,0.41266987,2.814361786,1.036970851,2.986934404,0.966546035
347902,"AMIGO2",5.603814826,4.889262659,6.744523388,6.252132809,6.019776648,5.944941758,5.493672901,4.647266805,6.550695323,5.510166349,6.669825641,5.569302593
