"ENTREZID","SYMBOL","17.3_CX.5461_0.5_3","84.1_CX.5461_0.5_3","84.1_VEH_0.5_3","90.1_CX.5461_0.5_3","90.1_VEH_0.5_3","75.1_CX.5461_0.5_3","17.3_VEH_0.5_3","75.1_VEH_0.5_3","78.1_CX.5461_0.5_3","78.1_VEH_0.5_3","87.1_CX.5461_0.5_3","87.1_VEH_0.5_3"
100129534,"LOC100129534",-0.161925203,0.398793724,0.629164279,-0.179779211,0.641022199,-0.062680516,0.050445109,-1.062891275,0.111512895,-0.57962272,0.713635931,0.299782909
11079,"RER1",7.136137226,7.151863825,7.098638343,6.953144459,6.9344942,6.911305556,7.115411959,6.749375818,7.038049572,6.809246757,6.943507125,6.863232435
5192,"PEX10",3.721941301,3.85273054,3.861178196,4.055700805,4.11195711,3.573406644,3.617225746,3.613433224,3.68370309,3.968061084,3.972466848,4.148287564
55229,"PANK4",5.739539621,5.544186803,5.444997554,5.634645385,5.790787328,5.716389729,5.911074166,5.616676594,5.568020239,5.447321155,5.645305307,5.739830115
127281,"PRXL2B",3.613050542,4.350815513,4.141489173,4.85711409,4.898770985,4.442699742,3.90802695,4.524547197,4.645639767,4.746457082,4.917462196,4.932447599
440556,"PRDM16-DT",2.43512053,2.731047927,3.082748428,3.249067726,3.476743524,4.033278848,2.616545801,4.128200593,3.970563117,3.947063598,2.889849476,3.100945088
63976,"PRDM16",4.056351665,4.453402596,4.887298633,4.870897043,5.178470472,5.665914612,4.122954708,5.79769997,5.66034594,5.790093662,3.963885245,4.223332621
27237,"ARHGEF16",3.310683122,2.973417857,2.836906235,3.438684669,3.654021891,2.834686657,3.394720023,2.84375739,2.937166718,3.246084453,1.900957228,2.072642983
1953,"MEGF6",5.841020235,6.939197674,6.738201475,6.420934552,6.464921223,6.227347946,6.277029221,6.002413516,6.919325454,6.727718428,6.764841818,6.470059814
127262,"TPRG1L",5.79484267,5.907434117,5.851985317,5.525598992,5.546553911,5.54389066,5.739652747,5.530093124,5.479386644,5.594674338,5.745088674,5.682725703
49856,"WRAP73",3.684440639,3.920423399,3.997744292,3.510882812,3.834703799,2.988650528,3.876071617,2.917185304,3.54447916,3.705898595,3.725793357,3.680075844
