"ENTREZID","SYMBOL","17.3_DOX_0.5_24","87.1_DOX_0.5_24","87.1_VEH_0.5_24","17.3_VEH_0.5_24","84.1_DOX_0.5_24","84.1_VEH_0.5_24","90.1_DOX_0.5_24","90.1_VEH_0.5_24","75.1_DOX_0.5_24","75.1_VEH_0.5_24","78.1_DOX_0.5_24","78.1_VEH_0.5_24"
6448,"SGSH",5.539659359,6.343840675,5.855766808,5.54153378,6.448271637,6.528542361,6.297105283,5.826945475,5.45796638,5.921997521,5.570637641,5.869817653
284129,"SLC26A11",5.816350543,6.228176608,5.289929624,5.305774529,6.139593709,5.994961785,6.252829934,5.596245263,5.4290066,5.32997598,5.556313868,5.444638573
57674,"RNF213",7.129286562,6.915871541,6.08467005,6.073035845,7.63534014,6.449152728,7.379983782,6.561321183,6.239881704,6.058774606,6.537809662,6.011267588
284131,"ENDOV",2.622982078,2.005371834,2.414234252,2.980364548,2.461065274,3.257680364,2.506831157,3.433395856,2.884265936,2.929341154,2.520578856,3.008444255
57521,"RPTOR",4.646678106,5.321816839,5.72669121,5.929311995,5.47910071,5.924750003,5.503436558,5.984037596,3.596982167,5.734897511,4.190517021,5.873757838
79643,"CHMP6",2.959631927,4.006322259,4.342629567,4.188505764,3.580969009,4.469942024,3.92996228,4.549146641,0.976274555,4.30181979,1.948610947,4.463843493
100129503,NA,0.314006665,0.272790131,0.400926019,0.530466547,-0.090407435,0.670858662,0.249517695,0.857364768,-0.811672118,0.439499247,-0.45429389,0.352358582
440465,"BAIAP2-DT",4.278900042,3.011503917,4.680929128,4.849505902,2.726859034,4.757589284,2.895366209,4.737503116,4.340091906,4.925567426,4.606594612,4.712899893
10458,"BAIAP2",7.596550468,6.127328332,4.408388118,4.208569532,6.828651184,5.011641357,6.44474056,4.732059667,7.410681553,4.239421562,7.258977188,4.301716353
9625,"AATK",1.390850519,0.428871779,2.102345747,3.070826431,1.530358282,2.304638411,2.010926196,3.103171357,0.64129488,2.572378815,1.693317484,3.064679338
22994,"CEP131",2.819603621,2.234229478,4.143702589,4.480190383,3.051541216,4.466477783,2.944606446,4.704530009,2.663357778,4.561888937,2.214922715,4.032387948
146705,"TEPSIN",6.686534489,5.649953176,4.377448032,4.51282948,6.600931178,5.223484575,6.314067167,4.653612776,5.754136025,4.65513313,5.502542026,4.132253288
284184,"NDUFAF8",5.021680053,5.747084537,4.834627938,4.804075872,5.253361078,4.510876774,5.686807208,4.857348039,4.302265977,4.264009236,4.047640799,4.373971184
124565,"SLC38A10",7.437464515,7.862602956,7.399894727,7.374052909,8.125106079,8.124837289,7.701911003,7.331791565,7.888784389,7.684811894,7.886229442,7.722168485
57597,"BAHCC1",5.74877802,4.333810644,4.740501343,4.94826904,4.847328521,5.297489913,4.535946393,5.123684096,5.261707783,5.23011216,5.425829312,5.361027853
71,"ACTG1",8.12534758,9.013667051,10.15388379,9.93380113,9.144989939,10.94077165,9.004665189,10.28617924,8.587780475,9.441522584,8.56370589,9.952540779
25794,"FSCN2",4.335700956,4.144104896,3.668980931,3.612673235,4.477053497,4.123546936,4.545553512,4.073059017,3.363884113,2.981106071,3.603472085,3.646734849
80233,"FAAP100",5.711291952,5.854241912,5.693161888,5.629737736,6.059935438,6.022352831,6.055150668,5.795975947,5.610202069,5.582648515,5.589517434,5.726112557
55666,"NPLOC4",7.306967529,7.890286791,7.239670234,7.237305702,7.822323131,7.218416196,7.929000256,7.12045795,6.945705904,7.305770613,6.795299372,7.240153772
83882,"TSPAN10",0.972858759,2.342900469,2.232530816,1.144327693,1.637542957,2.572956558,2.608105811,2.161573658,1.699802321,1.552427049,1.54645204,2.640259194
339229,"OXLD1",4.870189259,4.66998354,4.19073489,4.121301752,4.473441017,4.087917929,4.608016278,4.25865403,4.236931738,4.298423123,4.331766655,4.4673245
