"ENTREZID","SYMBOL","17.3_CX.5461_0.1_3","84.1_CX.5461_0.1_3","84.1_VEH_0.1_3","90.1_CX.5461_0.1_3","90.1_VEH_0.1_3","17.3_VEH_0.1_3","75.1_CX.5461_0.1_3","75.1_VEH_0.1_3","78.1_CX.5461_0.1_3","78.1_VEH_0.1_3","87.1_CX.5461_0.1_3","87.1_VEH_0.1_3"
100507034,"PITRM1-AS1",1.640482672,1.347400749,1.81446142,0.855229329,0.536018307,1.129358767,1.674385826,1.527742863,1.621060711,1.555897993,0.560680124,0.371982999
1316,"KLF6",6.08467501,6.398589903,5.611017756,7.169655604,7.101286251,6.11605463,6.050862759,6.126265944,6.245008389,6.169074451,7.01791472,7.054270601
1645,"AKR1C1",1.378341275,1.473516838,1.218935019,0.235710756,0.001809846,1.539762299,1.456057813,1.138537678,0.668957111,2.115516852,1.128240721,0.433825961
10276,"NET1",4.035408157,4.002385693,3.931444238,3.787503382,3.854250434,3.768656352,3.837809041,3.769165827,3.798057884,3.769624693,3.99530297,3.494407473
79754,"ASB13",3.609564733,3.882449328,3.754783987,3.845699029,3.898330641,3.959926888,4.008244984,3.796648663,4.145449067,4.210631172,3.788176774,3.950870504
54906,"TASOR2",6.958049417,6.710989087,6.71907121,6.489421791,6.641936351,6.981634322,6.768588126,6.698179401,6.666604012,6.56070601,6.617882261,6.573961557
2665,"GDI2",7.371828894,7.323224569,7.522878229,7.450547597,7.467160564,7.280918266,7.443174912,7.441693725,7.181551699,7.246716337,7.375571477,7.350770698
54522,"ANKRD16",2.753552885,2.712430665,2.79300745,2.881032359,2.783318634,2.523306877,2.823084206,2.641483907,2.847737695,2.649408568,2.734392089,2.664190206
84893,"FBH1",7.1337789,7.084051108,7.09698217,7.380643769,7.349041493,7.191383352,7.165373072,7.117040847,7.306083091,7.290478821,7.647764818,7.25391027
84991,"RBM17",6.150231987,5.99141025,6.004131838,6.304671398,6.205392148,6.017404703,6.121712145,6.043802506,5.813514586,5.908449705,6.311542868,6.171694118
5209,"PFKFB3",5.283716232,5.547438862,5.308050561,5.861562462,5.733386342,5.473511209,5.113521155,4.921784923,5.187493838,5.316950708,5.262804567,4.967086932
5588,"PRKCQ",-1.205972836,0.047712644,0.534586437,-0.873219808,-0.510220114,-0.656872011,0.070605945,0.205025185,0.151261425,0.261301857,-0.48756871,-0.15623255
439949,"PRKCQ-AS1",0.303383381,0.047712644,0.371135219,0.311087631,0.071916318,-0.494056718,0.137456443,-0.348130258,-0.199506403,0.261301857,-0.388339216,0.371982999
57713,"SFMBT2",2.362509817,2.787206948,2.835440317,2.624523827,2.996603492,2.85331156,3.345500785,3.419192805,2.876275573,2.957340042,3.739641035,3.869288949
80760,"ITIH5",0.303383381,0.272573118,-0.365534766,-1.050588693,-0.411249211,0.071773463,-0.732404913,-1.086384056,0.212231108,-0.074366966,-0.709195966,-0.998268711
22944,"KIN",4.389941066,4.0837469,3.98896647,3.967187205,3.808780834,3.956410182,4.323831924,4.285990331,3.939999501,4.002441446,3.860573664,3.971868363
509,"ATP5F1C",8.09076472,7.833006941,8.076118855,7.764364037,7.915342094,8.027029502,7.997242966,8.27926034,7.376031871,7.653804146,8.015639052,8.094666615
83860,"TAF3",4.525910431,4.444902401,4.458180626,4.971131298,4.905349731,4.385689415,4.576613179,4.623364684,4.57780592,4.596205995,4.880497119,4.656118348
10659,"CELF2",7.55313904,7.572161273,7.694424797,7.37681139,7.568400282,7.643820981,7.763939427,7.828053142,7.754687668,7.813589973,7.738382256,7.520705055
414196,"CELF2-AS1",1.057751657,0.583537929,0.049317984,-0.324543671,-0.411249211,0.695380414,0.885231244,1.068113889,1.454409062,1.555897993,-0.709195966,-1.368704034
9712,"USP6NL",5.005676641,4.997704505,5.014565624,5.002736329,4.968740767,5.071837382,5.240593225,5.21039269,5.311099311,5.382091814,4.852875021,4.844365413
79746,"ECHDC3",0.459756865,1.561358216,1.657754629,1.249414963,1.291072154,1.27198511,2.212949375,2.404834288,2.374426656,2.602898512,0.987531855,1.061887068
254427,"PROSER2",3.637128958,3.572955047,3.468354309,4.646764022,4.642834951,3.686133013,3.872564315,3.886358048,4.441218988,4.723939731,4.725740183,4.60327033
26019,"UPF2",5.610100499,5.408282798,5.269882187,5.438481435,5.238237145,5.555991093,5.234880213,5.071044707,5.304114284,5.368254345,5.296749916,5.436113222
55526,"DHTKD1",5.623943325,5.429836818,5.530978927,5.530060952,5.544422245,5.514742858,5.817242299,5.739819241,5.741659027,5.634157454,5.498210825,5.576390223
55176,"SEC61A2",6.654474202,6.244574393,6.147856446,6.111308888,5.90884651,6.388809425,6.533628676,6.375336561,6.843835265,6.584090322,6.457070436,6.209755308
11164,"NUDT5",5.817069649,5.896084105,6.029483206,5.709671515,5.782562591,5.600605568,5.11559523,5.252681054,5.236013309,5.340174766,5.62238426,5.559150056
8872,"CDC123",6.48507219,6.51957666,6.495853177,6.477201048,6.470036789,6.38227174,6.287263859,6.236737138,6.071793112,6.197720152,6.481053267,6.219664481
57118,"CAMK1D",5.541740868,6.422244616,6.539018975,5.402313458,5.752191241,5.959731935,4.505634224,4.346747569,4.620604945,4.38910965,5.114199328,5.493507822
83643,"CCDC3",5.260863406,5.295400397,5.466629082,4.703816944,4.961833309,5.164668388,2.706832369,2.39047613,4.125775614,3.671624703,5.298612552,5.205143026
10133,"OPTN",6.525457022,6.632043154,6.78686105,6.644095147,6.672578823,6.434394159,6.236706287,6.216530711,6.067674554,6.122436569,6.62383753,6.884025005
55388,"MCM10",3.101033648,3.493302632,3.003031452,2.778528862,2.903543761,2.905308697,3.953640007,3.671602732,2.6744053,2.705513775,4.075710517,2.986551863
5264,"PHYH",4.06412313,4.341177707,4.669372547,4.755329566,4.693750631,4.084362454,4.874807478,4.901676647,4.369422786,4.507460179,4.637246391,4.71022592
22929,"SEPHS1",5.45766537,5.429836818,5.586382225,5.572802302,5.692245293,5.518324998,5.741368169,5.777548774,5.501747064,5.661363071,5.640121725,5.531129965
222389,"BEND7",3.603988122,3.812567785,3.698423237,3.726861195,3.381859828,3.651754972,3.543363326,3.390620816,3.812897197,3.660313236,3.637377998,3.690827964
8559,"PRPF18",3.742403139,3.726516454,3.819633264,3.733726473,3.859215274,3.660426586,3.689756459,3.839560454,3.37331906,3.472596893,3.462325253,3.537298643
55691,"FRMD4A",4.934145419,4.885893481,4.575482498,4.018688048,4.018592969,4.847206141,3.733629959,3.454129989,4.395945733,4.419619859,3.22438927,3.223853762
83641,"FAM107B",4.088289106,3.72016898,4.140495952,3.907721542,4.193891323,4.26579091,3.573854484,3.440256477,4.195378809,4.432975561,3.322856008,3.465088151
51182,"HSPA14",5.392846563,5.265198743,5.564475554,5.299641868,5.283261552,5.24469535,5.37306273,5.424593612,4.986191882,5.065784672,5.168173477,5.075340087
79723,"SUV39H2",3.457069883,3.311028823,3.501673199,3.3782698,3.040975032,3.320819135,3.309715121,3.397817038,2.993804692,2.727358857,3.270671856,3.01717656
64421,"DCLRE1C",3.575777074,3.508115829,3.392226047,3.211238024,3.049687896,3.51021906,3.434590772,3.19795507,3.225881192,3.426602669,3.533649698,3.501645139
414149,"ACBD7",0.920916907,0.405103656,1.186519141,0.450965301,1.102966117,0.695380414,1.375265911,1.553747469,1.015332067,1.197415139,1.316502327,0.708597535
221060,"RPP38-DT",0.687748975,1.134787179,0.771565639,0.855229329,0.806617065,0.553619784,0.676293112,0.875365424,0.871539963,0.629362377,-0.834240136,-0.576384123
10557,"RPP38",3.690726075,3.782420961,3.370747139,3.719963091,3.501003946,3.326278919,3.227715298,3.47469327,3.180832262,3.529656234,3.344655468,3.764881757
9397,"NMT2",4.031258961,3.776315258,3.911748953,3.937760737,3.680018691,3.880507133,3.847824848,3.956264914,3.798057884,3.846494602,3.660737763,3.841036683
221061,"FAM171A1",6.414349301,6.460827146,6.235628275,6.463844036,6.458632558,6.571740211,6.548290456,6.475663098,6.843233055,6.692176241,6.14035415,6.15228023
8516,"ITGA8",0.809038389,0.691304797,0.371135219,0.952600621,1.261375438,1.052384007,-1.981339181,-2.260342124,0.753433279,0.200127115,1.28678238,1.100534444
80013,"MINDY3",5.288938947,5.046720218,5.347069418,4.693289968,4.808568641,4.984754433,5.056363392,5.121905155,4.90079587,5.004485396,5.038198417,4.961848686
9317,"PTER",2.308674158,2.799301356,3.003031452,2.468647945,2.55758363,2.523306877,3.302450223,3.022847028,2.847737695,2.727358857,2.777770101,3.412300351
389941,"C1QL3",-1.559393725,0.12662493,0.250879546,-0.017389584,0.721934209,-0.840427218,0.676293112,-0.254900143,0.871539963,0.5821908,0.025626142,1.24553461
6251,"RSU1",6.487345697,6.457968978,6.467466027,6.511561117,6.592109589,6.480420204,6.38077085,6.24573851,6.369006094,6.418562704,6.765923064,6.712959976
8029,"CUBN",1.725116323,1.796731553,1.771397639,1.170654512,1.923426217,2.029261993,2.197366802,2.238440882,1.479427803,1.258702574,1.968100744,1.100534444
1787,"TRDMT1",2.888118157,2.606289444,2.749288619,2.312329526,2.19878798,2.791496819,3.004152375,3.077646458,2.931711674,2.637920866,2.546527612,2.231116974
100507347,"VIM-AS1",-0.002054721,0.405103656,0.427701691,0.382721046,0.322549573,0.396396443,0.72057171,-0.006686777,0.624788654,0.844532023,0.025626142,0.896029653
7431,"VIM",9.12448306,9.356683956,9.47900785,9.903581858,9.908154963,9.161988679,9.092973782,8.971360229,9.036119979,9.069757787,9.368036897,9.549745366
338596,"ST8SIA6",1.824371173,2.176429808,2.311913517,2.136992152,2.151003118,2.002229423,0.923618597,0.446235783,2.361026835,1.882279065,1.745847838,2.456412808
9200,"HACD1",8.432433431,7.895605212,8.014261531,7.898715635,7.801628717,8.194047202,7.821297269,7.995127441,7.854582681,7.837954058,8.320706903,8.028561046
102723166,"STAM-DT",0.769730782,0.638427379,0.482133682,-0.017389584,0.138773324,0.661224646,0.321216283,0.269212753,0.433206935,0.319987775,-0.048205101,0.094111107
8027,"STAM",5.598929804,5.575839748,5.57076862,5.586140499,5.597380418,5.605104361,5.465404192,5.431622763,5.472450128,5.366515292,5.720129695,5.759614954
783,"CACNB2",4.75703719,5.184503457,5.287183024,4.908801409,5.000545364,4.926633081,5.882032677,5.949008561,5.521454952,5.500996305,5.704760099,5.419013445
221078,"NSUN6",3.547003354,3.408994227,3.385101883,3.471574096,2.893898924,3.385011149,3.480376854,3.412102682,3.560810932,3.780113759,3.058422054,3.283856168
221079,"ARL5B",6.622423677,6.681888254,6.980096624,6.242250361,6.342001942,6.527395303,6.678160051,6.732025398,6.326549997,6.490586122,5.940128708,5.985489375
84898,"PLXDC2",4.100221973,3.544496752,3.721232427,3.889393143,4.08367181,4.305031982,4.585619081,4.557416493,5.340414066,4.997760439,4.319026439,4.596526104
10529,"NEBL",11.18439938,10.97532665,11.07179045,10.56777047,10.5729132,11.11457727,10.98184879,10.9563619,11.02877339,10.96518553,10.80458595,10.78315699
399726,"MIR1915HG",4.999318391,5.118463272,5.068927257,5.342938904,5.457063689,5.012113328,5.334405102,5.397925003,5.672830638,5.647108296,5.73258416,5.593426801
387640,"SKIDA1",3.954457476,4.093601856,3.993658048,3.656349407,3.62860729,3.97738297,4.156633396,4.108765127,4.113841466,4.076646553,3.924694198,3.950870504
8028,"MLLT10",5.802536057,5.382387616,5.144704229,5.156260732,5.091956985,5.672027609,5.221461209,5.316726837,5.437767001,5.414433465,5.306039143,5.303668726
64215,"DNAJC1",5.260863406,5.101469824,4.998316474,5.058484072,4.878703394,5.052202802,5.158475897,5.117552999,5.193176238,5.210463051,5.212317835,5.37239766
23412,"COMMD3",4.799129771,4.501517492,4.587946256,4.439834128,4.408919687,4.628209019,4.561477275,4.718395216,4.290335384,4.46907873,4.507975713,4.541406313
648,"BMI1",1.550572991,1.589489045,1.508396835,1.395103272,0.847164603,1.46253315,0.630612387,1.501260906,0.980705187,0.9961884,0.560680124,0.30736987
100499489,"LINC03027",-0.144977501,0.405103656,0.814624479,1.589288682,1.508911208,0.266103434,1.718722109,1.81256659,1.621060711,1.317492195,1.508983015,2.065174852
5305,"PIP4K2A",4.250558426,3.91616042,4.127747747,4.15790553,4.244099562,4.414169319,4.36973823,4.139140609,4.527714064,4.590257792,4.465496684,4.606630657
22921,"MSRB2",4.603415402,4.38597452,4.578608546,4.837296078,4.642834951,4.718173643,4.809684354,5.057476516,4.70257253,4.696515764,4.960325307,4.768390701
256815,"C10orf67",1.297730269,0.885332757,0.975054825,1.087344772,0.677652757,1.359793187,0.961010954,1.238119298,1.17699908,1.258702574,0.987531855,1.24553461
220213,"OTUD1",5.427989041,5.267377097,5.354383406,5.591819334,5.703331461,4.814557666,5.863639851,5.967263374,5.035525754,5.12252592,5.638651903,5.7120492
56243,"KIAA1217",3.984812412,3.586976416,3.651693641,3.16118951,3.190281585,3.97738297,4.323831924,4.289863548,3.747461291,3.780113759,3.049600616,3.479822291
57584,"ARHGAP21",6.574041966,6.306261154,6.253342259,6.232589238,6.240062812,6.4668895,6.49988603,6.348661468,6.711510361,6.536936413,6.444507301,6.266091001
56952,"PRTFDC1",0.409492353,0.973364635,1.341771652,1.249414963,1.261375438,0.914196846,2.317554774,2.39047613,2.249097064,2.287121947,2.208980049,1.345456647
79896,"THNSL1",2.753552885,2.937038272,2.715607507,2.639223716,2.532938992,2.597430735,3.132602402,2.965883625,3.02812228,2.929341381,2.819881833,2.834356092
