,CX.5461_0.1_3,CX.5461_0.1_24,CX.5461_0.1_48,CX.5461_0.5_3,CX.5461_0.5_24,CX.5461_0.5_48,DOX_0.1_3,DOX_0.1_24,DOX_0.1_48,DOX_0.5_3,DOX_0.5_24,DOX_0.5_48
57636,0.051010357,0.146297555,0.167399734,0.031159434,0.136253705,0.269450788,-0.116173717,-0.791430352,-0.765590806,-0.32686479,-1.109459132,-1.42886575
80725,-0.057811036,0.105440607,0.238059188,-0.047426682,-0.118131349,0.135824161,-0.007378514,-0.534890476,-0.993983196,0.048379058,1.05989634,0.308425817
100170841,-0.050838183,0.141105261,0.352695833,0.285141427,0.04838855,0.374827793,0.126058024,0.266534431,0.463441403,0.707567164,1.878297696,1.744407436
4302,-0.021213254,0.007219301,0.067491777,-0.035198398,-0.167651655,0.044133157,-0.034175147,-0.38877768,-0.146565754,-0.034288274,-0.46227028,-0.540528395
284106,-0.112614312,-0.113642336,0.151289189,-0.036004452,-0.064275363,0.015664918,-0.011675615,-1.18651648,-0.829955282,-0.044399858,-1.74830621,-2.108343292
7703,-0.033096801,-0.090907801,0.011957121,-0.109688868,-0.084203124,-0.075238502,0.026312645,-0.010580088,0.187270648,-0.046204838,0.321289241,0.451192511
100287808,-0.010606812,-0.020436126,-0.023655166,-0.03320451,0.12956551,0.117904546,0.345371863,0.149506287,0.05643232,0.001884304,2.116496529,1.691480748
5691,-0.045847057,-0.104319137,-0.055499254,0.010072742,0.101943191,-0.002703943,0.079262468,-0.081672682,0.00843481,0.282045004,0.25061005,0.330367587
8396,-0.015412706,0.024477554,0.012361963,-0.01589051,0.021755265,0.093924385,0.004135129,0.267412197,0.223821198,-0.081746168,0.468587347,0.62914287
54883,0.009516187,-0.106532333,0.129705046,-0.017715101,-0.016389632,0.02854586,0.000195602,0.060441412,0.145084926,0.003078226,0.551844282,0.932232471
9349,-0.114548976,-0.119423294,-0.095233014,-0.033672581,0.055020166,-0.163131018,-0.01497671,0.002779469,0.031621484,0.172502063,-0.032347494,-0.345611142
3927,-0.062065416,-0.031152689,-0.061708662,0.063728894,0.101240365,0.143910213,0.028116967,0.123551512,0.049200849,-0.114031728,0.271699554,0.431392519
100505576,0.084442069,0.209924459,0.176296852,0.292469072,0.080352806,0.064421246,0.022796589,0.138615939,0.217901796,0.668861716,0.055427337,0.139237687
782,-0.079961551,0.102697677,0.214118344,-0.12641253,-0.075123007,0.060433587,-0.119400599,-0.931889621,-0.616353825,-0.113721051,-1.102845843,-1.875587758
6143,-0.145874173,-0.052834752,-0.058496456,-0.016315044,0.104149946,-0.117648754,0.003649935,0.172481965,0.115925741,0.193850268,0.175468595,0.129219665
84961,0.03383035,0.084665284,0.214952422,0.009828065,0.070340638,0.186258245,-0.150668535,-0.027203535,0.04041022,-0.220462533,0.470254949,0.505292027
5469,-0.011408051,0.100922659,-0.024436741,0.075419411,-0.054710339,0.069870873,-0.092950291,0.060708554,-0.002051204,-0.044476341,-0.100794162,-0.048073315
51755,-0.051716888,0.044442233,-0.047648301,0.06677829,-0.089913495,0.06529241,-0.113197865,-0.162173188,-0.11324875,-0.24618001,-0.638418926,-0.26682162
84152,-0.282093724,-0.053606691,-0.338572893,-0.188557217,0.04280518,-0.163756174,-0.251645553,0.531168796,0.040874438,0.184928752,0.967769538,-0.117022279
10948,0.02930416,0.015105631,0.127986903,0.000867249,0.024789339,0.039558161,0.078173936,0.219541809,0.281840765,0.112598633,-0.111810469,0.072695521
8557,-0.264636162,-0.040344288,0.347818808,-0.139126559,0.115888607,0.251339493,-0.04149915,-1.535600613,-0.939246551,0.198042389,-1.50978176,-3.50477923
5409,-0.20643859,0.451823963,0.546017508,0.007072379,0.323815746,0.477695635,-0.066466388,-0.289808172,-0.290134878,0.130896576,-0.174038873,-1.051192605
93210,0.070357838,0.056966657,0.197243569,0.017623537,0.127800268,0.121071202,0.099311815,0.121884719,0.285734637,0.149433609,-0.339912242,-0.459421993
2064,0.100242564,0.099928846,0.153911079,0.07427378,0.099685816,0.101474426,0.068197775,-0.779354433,-0.66024484,0.029915131,-1.468950489,-2.436967374
84299,-0.087759591,-0.041097531,0.053219951,-0.075507287,0.216422601,0.050057018,0.065767469,0.414158094,0.496898072,0.174441067,0.286704499,0.527615995
2886,0.291687556,0.295196428,0.393055713,0.284399667,0.306460332,0.228122101,0.353818133,-0.480837587,-0.526158179,0.021809134,-1.149266621,-2.425242717
55876,0.109687489,0.185850808,0.238749424,0.178031708,0.232818497,0.213529801,-0.259910215,0.677010181,0.639261545,-0.106099506,0.82263544,0.775359126
94103,0.032834903,0.028936958,0.178905791,0.071174879,0.165527107,0.207267276,0.10249989,0.166721617,0.210009317,0.130274808,0.244744464,-0.054356809
5709,-0.028078567,0.053201019,0.069090861,0.028189843,0.026077896,0.023889299,-0.004287736,-0.273956936,-0.136027127,-0.017956713,-0.581998081,-0.14330357
9862,-0.026777124,0.018387361,0.103453639,0.004061323,0.044919242,0.078608204,-0.018197938,0.027674944,0.235755489,0.110028564,0.547126994,0.643527246
