"Symbol","TS_Score","Entrez_ID"
"ATP2A2",12,"488"
"ATP6AP2",4,"10159"
"ATP6V1B1",4,"525"
"ATP6V1E2",4,"90423"
"ATP6V1G2",40,"534"
"AURKC",9,"6795"
"AZIN2",4,"113451"
"AZU1",49,"566"
"B4GALNT1",5,"2583"
"BAALC",11,"79870"
"BABAM2",5,"9577"
"BACE1",4,"23621"
"BACH2",5,"60468"
"BAG5",5,"9529"
"BAIAP3",8,"8938"
"BCDIN3D",4,"144233"
"BCHE",13,"590"
"BCL2A1",6,"597"
"BDH1",5,"622"
"BEGAIN",6,"57596"
"BEND6",4,"221336"
"BHMT2",10,"23743"
"BIN1",7,"274"
"BMP10",67,"27302"
"BMP5",5,"653"
"BMP8A",16,"353500"
"BMX",12,"660"
"BRICD5",4,"283870"
"BRINP1",7,"1620"
"BRSK1",6,"84446"
"BRSK2",6,"9024"
"BSPRY",5,"54836"
"BST1",5,"683"
"C10orf71",4,"118461"
"C11orf21",6,"29125"
"C11orf54",8,"28970"
"C11orf71",6,"54494"
"C16orf86",5,"388284"
"C16orf95",14,"100506581"
"C19orf47",6,"126526"
"C1orf56",7,"54964"
"C1QTNF4",7,"114900"
"C1QTNF5",11,"114902"
"C1S",5,"716"
"C2",6,"717"
"C22orf23",4,"84645"
"C2CD4B",4,"388125"
"C2CD4C",6,"126567"
"C2CD6",31,"151254"
"C3",9,"718"
"C4B",5,"721"
"C4orf54",5,"285556"
"C5",30,"727"
"C5orf46",8,"389336"
"C6",11,"729"
"C8G",18,"733"
"CA1",55,"759"
"CA11",9,"770"
"CA3",5,"761"
"CA6",296,"765"
"CA9",12,"768"
"CABP1",17,"9478"
"CACNB1",6,"782"
"CADM2",15,"253559"
"CADM3",4,"57863"
"CALML5",6,"51806"
"CAMK2A",5,"815"
"CAMK2B",6,"816"
"CAMK2N1",7,"55450"
"CAMKK2",9,"10645"
"CAMP",9,"820"
"CAPN12",4,"147968"
"CARNS1",6,"57571"
"CASKIN1",16,"57524"
"CASQ1",63,"844"
"CASQ2",6,"845"
"CASTOR2",4,"729438"
"CAV3",5,"859"
"CAVIN4",4,"347273"
"CBLN1",14,"869"
"CBLN3",24,"643866"
"CBS",4,"875"
"CBX4",4,"8535"
"CCDC110",8,"256309"
"CCDC136",5,"64753"
"CCDC141",4,"285025"
"CCDC152",9,"100129792"
"CCDC28B",6,"79140"
"CCDC51",4,"79714"
"CCDC63",6,"160762"
"CCDC7",29,"79741"
"CCDC86",8,"79080"
"CCHCR1",7,"54535"
"CCL17",5,"6361"
"CCL18",5,"6362"
"CCL19",4,"6363"
"CCL20",5,"6364"
"CCL21",5,"6366"
"CCM2L",6,"140706"
"CCN3",44,"4856"
"CCNDBP1",4,"23582"
"CCT6B",23,"10693"
"CD109",17,"135228"
"CD160",6,"11126"
"CD1C",11,"911"
"CD1D",6,"912"
"CD2",9,"914"
"CD247",7,"919"
"CD27",4,"939"
"CD3D",29,"915"
"CD3E",17,"916"
"CD48",4,"962"
"CD52",29,"1043"
"CD69",5,"969"
"CD79A",5,"973"
"CD79B",4,"974"
"CD8A",13,"925"
"CD8B",14,"926"
"CDH19",4,"28513"
