"Symbol","Entrez_ID"
"MLF2","8079"
"MYO6","4646"
"NEFL","4747"
"PCLO","27445"
"PDE4C","5143"
"PGAP1","80055"
"PLEKHF1","79156"
"PLTP","5360"
"PLXNB1","5364"
"PLXNB2","23654"
"PRKAB2","5565"
"PRKX","5613"
"PRODH","5625"
"PTPRU","10076"
"RGMA","56963"
"RGS16","6004"
"RND3","390"
"RNF144B","255488"
"SCN2A","6326"
"SCN4B","6330"
"SCRIB","23513"
"SEMA3B","7869"
"SLC25A45","283130"
"SLC44A5","204962"
"SLC4A11","83959"
"SLC9A1","6548"
"STAT3","6774"
"STK17A","9263"
"STX6","10228"
"TRIM32","22954"
"TRIM38","10475"
"TRIM5","85363"
"TYMSOS","494514"
"AKAP9","10142"
"CCDC51","79714"
"CDH8","1006"
"DUSP11","8446"
"GCC2","9648"
"METTL8","79828"
"PPP1R3C","5507"
"STEAP3","55240"
"ABHD4","63874"
"ABTB2","25841"
"ADGRG1","9289"
"AIFM2","84883"
"AMOTL1","154810"
"AMZ2","51321"
"ARVCF","421"
"BHLHE40","8553"
"BMP7","655"
"BORCS7","119032"
"BTBD10","84280"
"BTG3","10950"
"CAPN2","824"
"CASP6","839"
"CATSPERG","57828"
"CAV1","857"
"CCNK","8812"
"CFLAR","8837"
"CGB7","94027"
"CHST14","113189"
"COBLL1","22837"
"CPEB2","132864"
"CPSF4","10898"
"DNAJB2","3300"
"DOCK8","81704"
"DUSP5","1847"
"DUSP7","1849"
"EFNB1","1947"
"EI24","9538"
"EML2","24139"
"ENPP2","5168"
"FAM98C","147965"
"FCHO2","115548"
"FCHSD2","9873"
"FLRT2","23768"
"GBE1","2632"
"GPC1","2817"
"HES1","3280"
"HRAS","3265"
"ICOSLG","23308"
"IGFBP7","3490"
"ISYNA1","51477"
"JAG1","182"
"KRT8","3856"
"KSR1","8844"
"LACC1","144811"
"LPXN","9404"
"LRPAP1","4043"
"MFAP3L","9848"
"MKNK2","2872"
"MON2","23041"
"MRPL49","740"
"MYBPHL","343263"
"MYLK","4638"
"MYOF","26509"
"NFKBIA","4792"
"NLRP1","22861"
"NYNRIN","57523"
"P3H2","55214"
"PANK2","80025"
"PAQR7","164091"
"PCBP4","57060"
"PERP","64065"
"PLLP","51090"
"POU3F1","5453"
"PPFIBP1","8496"
"PPM1J","333926"
"PPP4R3A","55671"
"RALGDS","5900"
"RBM38","55544"
"RGL1","23179"
"RGS20","8601"
"RHOC","389"
"RPS19","6223"
"SCN3B","55800"
"SDC4","6385"
"SMAD3","4088"
"SNX2","6643"
"SOCS4","122809"
"TAB3","257397"
"TCAIM","285343"
"TEP1","7011"
"TET2","54790"
"TEX9","374618"
"TMEM63B","55362"
"TMEM8B","51754"
"TP53","7157"
"TP53I11","9537"
"TRAK1","22906"
"TRIP6","7205"
"TSGA10","80705"
"UNC5B","219699"
"UQCC1","55245"
"YPEL3","83719"
"ZNF195","7748"
"ZNF385A","25946"
"ZNF488","118738"
